[Visionary] 0day-sub	远鉴字幕组&HAFEN字幕组联合制作
I'd move heaven and earth for you, mi amigo. Salud!	我会为你披荆斩棘 擦枪走火 干杯!
Poison!	有毒!
You know, I did all my own stunts.	你知道吗?我从不用替身
♪ Though I have to say goodbye Remember me ♪	虽然再见必须说 请记住我
All of this came from my amazing fans in the Land of the Living.	这里的一切都是活人世界里我的歌迷们送的
They leave me more offerings than I know what to do with.	他们送的太多了 我都不知道该怎么办了
Hey, what's wrong?	嘿 怎么了
Is it too much? You look overwhelmed.	是事情太多了吗?你看起来有些迷茫
N-no, It's all great.	不 这些都很好
- But? - It's just...	那你是?只是...
I've been looking up to you my whole life.	我从小到大一直崇拜你
You're the guy who actually did it.	你是那个真正成功了的人
But did you ever regret it?	可是你有后悔过吗?
Choosing music over everything else?	为了音乐放弃了所有东西?
It was hard saying goodbye to my hometown.	离开家乡是很艰难
Heading off on my own.	独自一人上路
Leaving your family?	离开你的家人?
Si.	是的
But I could not have done it differently.	但是再给我一次机会我也不会有别的选择
One cannot deny who one is meant to be.	谁都不能违背命运的安排
And you, my great-great-grandson...	而你 我的曾曾孙子...
are meant to be a musician.	命中注定要成为一个音乐家
You and I, we are artists, Miguel.	你和我 我们是艺术家 米格
We cannot belong to one family.	才华不能埋没在小家里
The world is our family!	外面的世界才是我们的家!
Ooh-hoo! Ooh! The fireworks have begun!	哦!哦!开始放烟花了!
Soon, the party will move across town for my sunrise spectacular.	很快 大家就会去我的演唱会狂欢了
Hunh! Miguel, you must come to the show!	哈!米格 你一定要来看表演啊!
You will be my guest of honor.	你可以做我的特邀嘉宾
- You mean it? - Of course, my boy.	真的吗?当然了孩子
I can't.	我不能去
I have to get home before sunrise.	我必须要在天亮之前回到家
Oy! I really do need to get you home.	嚯!确实得让你回家了
It has been an honor.	这也是我的荣幸
I am sorry to see you go, Miguel.	真不想把你送走 米格
I hope you die very soon.	希望你尽快死去
You know what I mean.	你知道我是什么意思
Miguel...	米格...
I give you my blessing.	给你我的祝福
We had a deal, chamaco.	我们说好了的 小子
Who are you? What is the meaning of this?	你是谁?这是什么意思?
Oh, Frida. I thought you couldn't make it.	哦 弗里达 我还以为你不来了
You said you'd take back my photo.	你说过你会把我的照片带回去的
You promised, Miguel.	你答应过的 米格!
You know this uh, man?	你认识这个人?
I just met him tonight.	今天晚上刚认识的
He told me he knew you.	他说我他认识你
H...Héctor?	赫...埃克托?
Please, Miguel.	求你了 米格
Put my photo up.	把我的照片挂起来吧
My friend. You're... you're being forgotten.	我的朋友 你要... 要被人遗忘了
And whose fault is that?	那又是谁的错呢?
- Héctor, please. - Those were my songs you took.	埃克托 拜托 你拿走的是我的歌
My songs that made you famous.	是我的歌让你成名的
- What? - If I'm being forgotten...	什么?如果我被人遗忘了...
It's because you never told anyone that I wrote them.	就是因为 你没有告诉别人 这些歌是我写的
That's crazy. De la Cruz wrote all his own songs.	你胡说 德拉库斯的歌都是他自己写的
You wanna tell him? Or should I?	你要告诉他吗?或者我来说?
Héctor, I never meant to take credit.	埃克托 我从没想过占取你的功劳
We made a great team, but...	我们合作的很好 但是...
you died, and... I-I only sang your songs because	你去世了 并且... 我唱你的歌是因为
I wanted to keep a part of you alive.	我想让你的生命以这种方式延续下去
Oh, how generous!	哦!还真是好心啊!
You really did play together.	你们以前真的是搭档啊
Look, I don't want to fight about it.	听着 我不想跟你争这个
I just want you to make it right.	我只想让你做点弥补
Miguel can put my photo up.	米格可以挂起我的照片
- Héctor. - And I can cross over the bridge.	埃克托 然后我就能过桥
I could see my girl.	见到我的女儿了
Ernesto.	欧内斯托
Remember the night I left?	你还记得我离开的那天晚上吗?
That was a long time ago.	已经过去很久了
We drank together.	我们一起喝酒
And you told me you would move heaven and earth for your amigo.	你告诉我你会为了你的朋友赴汤蹈火
Well, I'm asking you to now.	那么 我现在求你帮帮我
Heaven and earth?	赴汤蹈火?
Like in the movie?	像电影里一样吗?
What?	什么?
That's Don Hidalgo's toast.	那是伊达尔戈先生的祝酒词
In the de la Cruz movie, "El Camino a Casa."	在德拉库斯的电影《回家的路》里
I'm talking about my real life, Miguel.	我说的是我自己 米格
No, it's in there.	不 电影里也有
Look!	看!
This calls for a toast.	值得喝一杯
To our friendship! Haha!	敬我们的友谊!哈哈!
I would move heaven and earth for you, mi amigo.	我会为你赴汤蹈火的 朋友
But in the movie, Don Hidalgo poisons the drink.	但是在电影里 伊达尔戈先生在酒里下毒了
Salud.	干杯
Poison!	有毒!
That night, Ernesto.	那天晚上 欧内斯托
The night I left.	我离开的那天晚上
We've been performing on the road for months.	我们已经在外面演出好几个月了
I got homesick and I packed up my songs.	我突然很想家 所以我收拾了东西
You wanna give up now?	你要现在放弃?
When we're this close to reaching our dream?	在差一点就要实现我们的梦想的时候?
This was your dream. You'll manage.	这是你的梦想 你自己搞定
I can't do this without your songs, Héctor.	没有你的歌我做不到 埃克托
I'm going home, Ernesto.	我要回家了 欧内斯托
Hate me if you want. But my mind is made up.	尽管恨我吧 但是我下定决心了
Oh, I could never hate you.	哦 我不会恨你的
If you must go, then I'm... I'm sending you off with a toast.	如果你一定要走 那... 让我举杯为你送行
To our friendship.	敬我们的友谊
I would move heaven and earth for you, mi amigo.	我会为你赴汤蹈火的 朋友
Salud!	干杯!
You walked me to the train station.	你送我去火车站
But I felt a pain in my stomach.	但是我肚子特别痛
I thought it must have been something I ate.	我以为是吃的东西出了问题
Perhaps it was that chorizo, my friend.	也许是吃的香肠坏了 伙计
Or something I drank.	原来是我喝的东西有问题
I woke up dead.	我就这样死了
You...	你...
poisoned me!	毒死了我!
You're confusing movies with reality, Héctor.	你把电影和现实混为一谈了 埃克托
All this time, I thought it was just bad luck.	这么长时间 我以为只是运气不好
I never thought that you might have...	我从没想过你竟然...
that you...	竟然...
How could you?	你怎么能这样做?
Héctor!	埃克托!
Security! Security!	警卫!警卫!
You took everything away from me!	你夺走了我的一切!
You rat!	你这个卑鄙的小人!
Have him taken care of.	照顾好他
He's not well.	他状态不太好
I just wanted to move back home!	我只是想回家!
No! No!	不!不!
I apologize.	对不起
Where were we?	我们说到哪了?
You were going to give me your blessing.	你说你会祝福我
Yes... ah... Si.	是的...呃...是
Miguel...	米格...
My reputation... it is...	我的个人名誉...
very important to me.	对我非常重要
I would hate to have you think...	我不想让你觉得..
That you m-murdered Héctor for his songs?	觉得你为了得到埃克托的歌而谋杀了他?
You don't think that.	你不是这样想的吧
Do you?	是吗?
I... No... Everyone knows you're the... the good guy.	我... 不... 大家都知道你是...是好人
Papá Ernesto... my blessing?	欧内斯托爷爷... 你还给我你的祝福吗?
Security?	警卫?
Take care of Miguel. He'll be extending his stay.	照顾好米格 他暂时不回去了
What?	什么?
But I'm your family!	我可是你的家人啊!
And Héctor was my best friend.	埃克托还是我最好的朋友呢
Success doesn't come for free, Miguel.	成功是要付出代价的 米格
You have to be willing to do whatever it takes to...	你必须不惜一切代价去...
seize your moment.	抓住机会
I know you understand.	我知道你会懂的
No! No!	不! 不!
Let go!	放开我!
No!	不!
Aah!	啊哈!
Help!	救命啊!
Can anyone hear me?	有人能听见吗?
I wanna go home!	我想回家!
Huh?	哈?
H-Héctor?	赫 埃克托?
- Kid? - Oh, Héctor!	孩子?哦 埃克托!
You were right.	你是对的
I should have gone back to my family.	我应该回到我家人身边的
- Hey, hey, hey. - They told me not to be like de la Cruz.	嘿 嘿 嘿 他们告诉我不要像德拉库斯一样
- But I didn't listen. - Hey, it's okay.	但是我没有听 嘿 没有关系的
But I told them I didn't care if they remembered me.	我还说我不在意人们是否会记住我
I didn't care if was on the stupid ofrenda.	我还说我不在乎照片是不是能上灵坛
Hey, chamaco, it's okay.	嘿 臭小子 没关系的
It's okay.	没关系的
I told them I didn't care.	我告诉他们我不在意
- Huh! Oh! - Héctor!	哈?不! 埃克托!
Héctor?	埃克托!
She's...	她...
forgetting me.	她快把我忘了
Who?	谁?
My daughter.	我的女儿
She's the reason you wanted to cross the bridge.	所以你那么想过桥就是为了她
I just wanted to see her again.	我只是想再次见到她
I never should have left Santa Cecilia.	我不应该离开塞西莉娅的
I wish I could apologize.	真希望我能给她道歉
I wish I could tell her that her Papá was trying to come home.	真希望我能告诉她她的爸爸在想办法回家
That he loved her so much.	爸爸非常爱她
My Coco.	我的可可
Coco?	可可?
Where?	你是
Where did you get this?	你是在哪拿到这个的?
That's my Mamá Coco.	这是我曾奶奶可可
That's my Mamá Imelda.	这是我曾曾奶奶伊梅尔达
Is that...	这是...
You?	你?
We're...	我们是...
- family? - Family?	一家人?
I always hoped I'd see her again.	我一直希望能再见到她
That she'd miss me.	希望她会想我
Maybe put up my photo.	为我布置灵坛
But it never happened.	但是她没有
You know the worst part?	你知道最糟糕的是什么吗?
Even if I never got to see Coco in the living world...	即使我永远不会再活的世界见到可可
I thought at least one day, I'd see her here.	将来总有一天她也会来到这
Give her the biggest hug.	我一定要好好抱抱她
But she's the last person who remembers me.	但是她是最后一个记住我的人
The moment she's gone from the living world...	她离开活人的世界的那一瞬间...
You disappear.	你就会
From this one.	从这个世界消失
You'll never get to see her.	你将永远都不会见到她了
Ever again.	永远见不到了
You know...	你知道...
I wrote her a song once.	我有一次给她写了首歌
We used to sing it every night.	我们以前每天晚上
At the same time.	都会唱这首歌
No matter how far apart we were.	不管我们相距多远
What I wouldn't give to sing it to her.	我多想再给她唱一次
One...	就唱
last...	最后
time.	一次
♪ Remember me ♪	请记住我
♪ Though I have to say goodbye ♪	虽然再见必须说
♪ Remember me ♪	请记住我
♪ Don't let it make you cry ♪	眼泪不要坠落
♪ For even if I'm far away ♪	我虽然要离你远去
♪ I hold you in my heart ♪	你住在我心里
♪ I sing a secret song to you ♪	在每个分离的夜里
♪ Each night we are apart ♪	为你唱一首歌
♪ Remember me ♪	请记住我
Papá!	爸爸!
♪ Though I have to travel far ♪	虽然我要去远方
♪ Remember me ♪	请记住我
♪ Each time you hear a sad guitar ♪	当听见吉他的悲伤
♪ Know that I'm with you ♪	这是我跟你在一起
♪ The only way that I can be ♪	唯一的凭据
♪ Until you're in my arms again ♪	直到我再次拥抱你
♪ Remember ♪	请记住
♪ Me ♪	我
H-He stole your guitar.	他...他偷走了你的吉他
He stole your songs.	他偷走了你的歌
You should be the one the world remembers.	你才应该被世人铭记
Not de la Cruz.	不是德拉库斯
I didn't write "Remember Me" for the world.	"请记住我"并不是写给全世界的
I wrote it for Coco.	是写给可可的
I'm a pretty sorry excuse for a great-great-grandpa.	我真不配做你的曾曾爷爷
Are you kidding? A minute ago, I thought I was related to a murderer.	你在开玩笑吗?刚才我还以为那个杀人犯是我的家人
You're a total upgrade.	你比他好太多了
My whole life...	从小到大
there's been something that made me different.	我和家里的人就是不一样
And I never knew where it came from.	可是我从来都不知道为什么
But now, I know.	但是现在我知道了
It comes from you!	是因为你!
I'm proud we're family.	我们是一家人 我很骄傲
I'm proud to be his family!	我们是一家人太好了!
I'm proud to be his family!	我们是一家人太好了!
Dante?	丹丹?
Dante!	丹丹?
It's Dante!	是丹丹!
Haha!	哈哈!
Imelda!	伊梅尔达!
Héctor.	埃克托
You look good.	你看起来不错
Dante!	丹丹!
You knew he was my Papá Héctor the whole time!	你知道他是我的曾曾爷爷埃克托!
You are a real spirit guide.	你就是爱波瑞吉!
Who's a good spirit guide? You are!	谁是最好的爱波瑞吉?是你!
Dante!	丹丹!
There they are!	他们在这!
Miguelito! Miguelito!	米格利托!米格利托!
Gracias, Dios mio!	谢谢
Mijo, I was so worried.	我担心死了
Thank goodness we found you in time.	还好我们及时找到你了
And you.	至于你
How many times must I turn you away?	我还要赶走你多少次?
Imelda...	伊梅尔达
I want nothing to do with you. Not in life, not in death.	我不想和你有任何关系 活着没有 死了更别想
I spent decades protecting my family from your mistakes.	我花了几十年让我的子孙远离你当年犯的错误
He spends five minutes with you, and I have to fish him out of a sinkhole!	他只跟你一起呆了五分钟 我就得把他从污水坑里捞出来!
I wasn't in there 'cause of Héctor.	不是埃克托的错
He was in there 'cause of me.	他是因为我才在那里的
He was just trying to get me home.	他只是想帮我回家
I didn't wanna listen.	是我不听话
But he was right.	但是他是对的
Nothing is more important than family.	没有什么比家人更重要了
I'm ready to accept your blessing.	我已经准备好接受您的祝福了
And your conditions.	什么条件都答应
But first, I need to find de la Cruz.	不过我们先要找到德拉库斯
To get Héctor's photo.	拿回埃克托的照片
- What? - So he can see Coco again.	什么?这样他就可以再次看到可可了
Héctor should be on our ofrenda.	家里的灵坛上应该有他
He's part of our family.	他也是这个家庭的一员
He left this family.	他离开了他的家庭
He tried to go home to you and Coco.	他一直想办法回到你和可可身边
But de la Cruz murdered him.	但是德拉库斯害死了他
It's true, Imelda.	是真的
And so what if it's true?	是真的又怎样?
You leave me alone with a child to raise,	你抛弃了我 让我独自抚养孩子
and I'm just supposed to forgive you?	难道我应该原谅你吗
Imelda, I...	伊梅尔达 我...
Héctor?	埃克托?
Hunh!	哈!
I'm running out of time.	我没有时间了
It's Coco.	是可可
She's forgetting you.	因为她快把你忘了
You don't have to forgive him.	你可以不用原谅他
But we shouldn't forget him.	但是 我们不该忘了他
I wanted to forget you.	我真的很想把你忘了
I wanted Coco to forget you too, but...	我还想可可也把你忘了 但是...
This is my fault.	都是我的错
Not yours.	不怪你
I'm sorry, Imelda.	对不起 伊梅尔达
Miguel...	米格...
If we help you get his photo...	如果我们帮你拿回他的照片...
you will return home.	你就答应我们回家去
No more music.	不再碰音乐
Family comes first.	家人永远最重要
I... I can't forgive you.	我...我真的无法原谅你
But I will help you.	但我还是会帮助你
So how do we get to de la Cruz?	我们怎样才能接近德拉库斯?
I might know a way.	我知道一个办法或许可以
Good luck, muchacho.	祝你们好运 孩子们
Gracias, Frida.	谢谢 弗里达
Ah!	啊!
Here, let me help you with...	来 让我帮你...
Don't touch me.	别碰我
Everyone clear on the plan?	大家都清楚计划了吧?
Find Héctor's photo.	找到埃克托的照片
Give it to Miguel.	拿给米格
Send Miguel home.	送米格回家
Got your petals?	都有花瓣了吗?
Now, we just have to find de la Cruz.	现在 我们只要找到德拉库斯就行了
- Yes? - Ah!	- 谁找我? - 啊!
Don't I know you?	我好像不认识你吧?
That's for murdering the love of my life!	这一下是教训你谋杀了我一生最爱的人!
- Who the? - She's talking about me.	- 你说谁? - 她说的是我
I'm the love your your life?	我是你一生最爱的人?
I don't know, I'm still angry at you.	别打岔 我还生着气呢
Héctor? How did you...	埃克托?你怎么...
And that's for trying to murder my grandson!	这一下是教训你差点害死了我的孙子!
- Grandson? - She's talking about me.	- 你孙子? - 她说的是我
You!	是你!
Wait. You're related to Héctor?	等下 你和埃克托是一家人?
The photo!	照片!
Eh...	呃...
After him!	追上他!
Security, ayuda.	保安 快救我
You said love of your life?	你说我是你一生最爱的人?
I don't know what I said.	谁知道我刚才说了什么
That's what I heard.	我可听到了
Places, señor. You're on in 30 seconds.	德拉库斯先生 还有30秒才到您上台呢
Miguel, I have it!	米格 我拿到了!
Oh!	哦!
Hurry, come on!	快点 上去!
Ladies and gentleman!	女士们先生们!
The one. The only. Ernesto de la Cruz!	欢迎伟大的欧内斯托·德拉库斯登场!
Get her off the stage!	快把她抓下来!
Sing!	唱啊!
Sing!	唱啊!
♪ Ay ♪	唉
♪ de mí, Llorona ♪	♫ 啊 哭泣的女人 ♫
♪ Llorona de azul Celeste ♪	♫ 像雨天一样悲伤 ♫
♪ Ay de mí, Llorona ♪	♫ 啊 哭泣的女人 ♫
♪ Llorona de azul Celeste ♪	♫ 像雨天一样悲伤 ♫
♪ Y aunque la vida me cueste, Llorona ♪	♫ 就算让我付出生命 ♫
♪ No dejaré de quererte ♪	♫ 我也无法停止爱你 ♫
♪ No dejaré de quererte ♪	♫ 无法停止爱你 ♫
♪ Me subí Al pino más alto, Llorona ♪	♫ 我爬上松林之巅 ♫
♪ A ver Si Te divisaba ♪	♫ 只为寻你踪影 ♫
♪ Como El pino era tierno, Llorona ♪	♫ 摇落的露水 ♫
♪ Al verme llorar, lloraba ♪	♫ 仿佛我的眼泪 ♫
♪ Ay de mí, Llorona, Llorona ♪	♫ 啊 哭泣的女人 ♫
♪ Llorona de azul Celeste ♪	♫ 像雨天一样悲伤 ♫
♪ Ay de mí, Llorona, Llorona ♪	♫ 啊 哭泣的女人 ♫
♪ Llorona de azul Celeste ♪	♫ 像雨天一样悲伤 ♫
♪ Y aunque la vida me cueste, Llorona ♪	♫ 就算让我付出生命 ♫
♪ No dejaré de quererte ♪	♫ 我也无法停止爱你 ♫
♪ Y aunque la vida me cueste ♪ - Let go of me!	♫ 就算让我付出生命 ♫ 放开我!
♪ Llorona ♪	♫ 哭泣的女人 ♫
♪ No dejaré de quererte ♪	♫ 我也无法停止爱你 ♫
♪ No dejaré de quererte ♪	♫ 我也无法停止爱你 ♫
♪ No dejaré de quererte ♪	♫ 我也无法停止爱你 ♫
♪ ¡Ay, ay, ay! ♪	唉 唉 唉!
I forgot what that felt like.	我都快忘记唱歌的感觉了
You... still got it.	你...唱的还是这么好
Uh-h-hum...	咳咳...
Oh!	哦!
Miguel, I give you my blessing...	米格 我把祝福送给你...
To go home...	让你回家...
To put up our photos...	把我们的照片摆上灵台...
And to never...	并且永远别...
Never play music again.	永远别碰音乐
To never forget how much your family loves you.	永远别忘了你的家人们有多爱你
You're going home.	你要回家啦
You're not going anywhere!	你哪儿也别想去!
Imelda!	伊梅尔达!
Stay back! Stay back!	别过来!别过来!
All of you, stay back!	所有人 都别过来!
Not one more step.	不准再靠近一步
Dante!	丹丹!
Ernesto, stop!	住手 欧内斯托!
Leave the boy alone.	放了那个男孩儿
I've worked too hard, Héctor.	我也很不容易 埃克托
Too hard to let him destroy everything.	不能让他毁了我的一切
He's a living child, Ernesto.	他只是个孩子 欧内斯托
He's a threat.	他是个威胁
You think I'd let him go back to the Land of the Living with your photo?	你以为我会让他带着你的照片 回到活人的世界?
To keep your memory alive?	让大家又记起你吗?
- No. - You're a coward!	- 不 - 你是个懦夫!
I am Ernesto de la Cruz. The greatest musician of all time.	我是歌神欧内斯托·德拉库斯 史上最伟大的音乐家
Héctor's the real musician.	埃克托才是最伟大的音乐家
You're just the guy who murdered him and stole his songs.	你谋杀了他 还偷走了他的歌
Murdered?	谋杀?
I am the one who's willing to do what it takes	那是我为了抓住机会
to seize my moment.	而不择手段
Whatever it takes.	不惜一切代价
Aah! Aah!	啊!啊!
No!	不!
- Miguel! - Miguel!	- 米格!- 米格!
Apologies, old friend. But the show must go on.	抱歉了 老朋友 表演还得继续呢
Haha!	哈哈!
Boo! Boo!	呸!呸!
Boo!	呸!
Hahaha! Please, please, mi familia!	哈哈哈 抱歉 抱歉 我的家人们!
- Murderer! - Get off the stage!	- 杀人犯! - 快滚下台去!
Orchestra, a-one, a-two, a-one...	乐队准备 一二一...
♪ Remember me ♪	♫ 请记住我 ♫
♪ Though I have to s- ♪	♫ 虽然再见必... ♫
Hey, creep!	卑鄙小人!
Look!	快看!
Nice kitty.	小猫咪
Ah!	啊!
Put me down!	快把我放下来!
Please!	拜托!
I'm begging you! Stop, stop!	求你了!停下 快停下!
Aaah!	啊!
Aah! Aaah!	啊!啊哈!
Oooh!	喔!
Oh! No!	噢!不!
Aaah!	啊!
Hunh!	哈!
What did I miss?	我错过了什么?
Good boy, Dante.	好狗狗 丹丹
Miguel!	米格!
Oh!	哦!
Héctor!	埃克托!
The photo, I lost it.	照片 我弄丢了
It's okay, mijo.	没关系 孩子
It's...	没关...
Héctor!	埃克托!
Héctor?	埃克托?
Coco.	可可
No, we can still find the photo.	不 我们还能找回照片
Miguel, it's almost sunrise.	米格 天快亮了
No, no, no. I can't leave you.	不 不 不 我不还能走
I promised I put your photo up.	我答应过你要把你的照片带回去
I promised you'd see Coco.	让你能见到可可太奶奶
We're both out of time, mijo.	我们都快没时间了 孩子
No! No!	不!不!
She can't forget you.	她不能就这么把你忘了
I just wanted her to know...	我只是想让她知道...
that I loved her.	爸爸一直都很爱她
Héctor!	埃克托!
You have our blessing, Miguel.	我们把祝福送给你 米格
No conditions.	没有任何条件
No, Papá Héctor. Please!	不 埃克托曾曾爷爷 求你了
No.	不
Go home.	回家吧
I promise! I-I won't let Coco forget you!	我保证!我一定不会让可可太奶奶忘了你的!
There he is!	他在那儿!
Miguel! Stop!	米格!站住!
Where have you been?	你去哪儿了?
Ah! I need to see Mamá Coco, please!	啊!我要见可可太奶奶 求你了!
Huh! What are you doing with that?	啊!你拿着那把吉他做什么?
Give it to me!	把它给我!
Miguel, stop.	米格 站住
Miguel! Miguel?	米格!米格?
Miguel!	米格!
Mamá Coco?	可可太奶奶?
Can you hear me?	能听到我吗?
It's Miguel.	我是米格
I-I saw your Papá!	我见到您爸爸了!
Remember? Papá?	还记得他吗?爸爸?
Please.	求您了
If you forget him.	如果您忘了他
He'll be gone.	他就再也回不来了
Forever.	永远消失
Here. This was his guitar, right?	看 这是他的吉他 还记得吗?
He used to play it to you?	他以前经常弹给您听
See, there he is.	看 这个就是他
Papá, remember? Papá?	爸爸 记得吗?爸爸?
Miguel!	米格!
Mamá Coco, please. Don't forget him.	太奶奶 求您了 不要忘了他
What are you doing to that poor woman?	你急着找太奶奶干什么?
It's okay, mother.	没事了 妈妈
What's gotten into you?	你这孩子是怎么回事?
I thought I lost you, Miguel.	我以为你丢了 米格
I'm sorry, Papá.	对不起 爸爸
We're all together now.	一家人又在一起了
That's what matters.	这才是最重要的
Not all of us.	还差一个人
It's okay, Mamita.	没事了 妈妈
Miguel, you apologize to your Mamá Coco.	米格 快来向太奶奶道歉
Mamá Coco...	太奶奶...
Well, apologize.	快 道歉
Mamá Coco...	太奶奶...
Your Papá...	您的爸爸...
He wanted you to have this.	他想让您听听这首歌
Mamá... wait...	妈妈 等一下...
♪ Remember me ♪	♫ 请记住我 ♫
♪ Though I have to say goodbye ♪	♫ 虽然再见必须说 ♫
♪ Remember me ♪	♫ 请记住我 ♫
♪ Don't let it make you cry ♪	♫ 眼泪不要坠落 ♫
♪ For even if I'm far away ♪ - Look!	♫ 我虽然要离你远去 ♫ 你们看!
♪ I hold you in my heart ♪	♫ 你住在我心底 ♫
♪ I sing a secret song to you ♪	♫ 在每个分离的夜里 ♫
♪ Each night we are apart ♪	♫ 为你唱一首歌 ♫
♪ Remember me ♪	♫ 请记住我 ♫
♪ Though I have to travel far ♪	♫ 虽然我要去远方 ♫
♪ Remember me ♪	♫ 请记住我 ♫
♪ Each time you hear a sad guitar ♪	♫ 当听见吉他的悲伤 ♫
♪ Know that I'm with you ♪	♫ 这是我跟你在一起 ♫
♪ The only way that I can be ♪	♫ 唯一的凭据 ♫
♪ Until you're in my arms again ♪	♫ 直到我再次拥抱你 ♫
♪ Remember ♪	♫ 请记住 ♫
♪ Me ♪	♫ 我 ♫
Elena?	埃琳娜?
What's wrong, mija?	你怎么了 孩子?
Nothing, Mamá.	没事 妈妈
Nothing at all.	就是太高兴了
My Papá used to sing me that song.	我爸爸过去一直都唱这首歌
He loved you, Mamá Coco.	他一直爱您 太奶奶
Your Papá loved you so much.	您的爸爸非常爱您
I kept his letters.	我一直留着他写的信
Poems he wrote me.	里面有写给我的诗
And...	还有...
Papá was a musician.	我的爸爸是个音乐家
When I was a little girl...	在我还是个小女孩的时候...
He and Mamá would sing such beautiful songs.	他和妈妈会一起唱非常动听的歌
One year later	一年后
Remember me	请记住我
Forgotten.	鬼才记住你
And right over here,	请看这里
one of Santa Cecilia's greatest treasures.	这是圣塞西莉亚伟大的文化瑰宝之一
The home of the esteemed songwriter, Héctor Rivera.	著名的词曲家埃克托曾经在这里生活
The letters Héctor wrote home for his daughter, Coco	在他写给女儿可可的一封封家书中
contain the lyrics for all of your favorite songs.	可以看到许多流传于世的佳作
Not just "Remember Me."	包括《请记住我》
And that man is your Papá Julio.	这是胡里奥太爷爷
And there's Tía Rosita.	这是罗西塔姨奶奶
And your Tía Victoria.	这是维多利亚姨奶奶
And those two are Oscar and Felipe.	那是奥斯卡和费利佩舅爷爷
There aren't just old pictures, they're our family.	照片里的人都是我们的家人
And they're counting on us to remember them.	我们永远都不能忘记他们
♪ Say that I'm crazy ♪ - Next.	♫ 你叫我疯子 ♫ 下一位
♪ Or call me a fool ♪	♫ 我傻得可以 ♫
Enjoy your visit, Héctor.	祝你探亲愉快 埃克托
♪ But last night it seemed that I dreamed about you ♪	♫ 但昨夜梦里我仿佛看见你 ♫
Papá!	爸爸!
Coco!	可可!
♪ And you knew every word ♪	♫ 当我开口要说 言语变一首歌 ♫
♪ And we all sang along ♪	♫ 每一句都熟悉 我们来一起唱 ♫
♪ To a melody played ♪	♫ 旋律华丽响起 ♫
♪ On the strings of our souls  ♪	♫ 灵魂在音符里 ♫
♪ And a rhythm that rattled us ♪	♫ 我们身体摆动 ♫
♪ Down to the bone ♪	♫ 跟着音乐节奏 ♫
♪ Our love for each other ♪	♫ 我们相亲相爱 ♫
♪ Will live on forever ♪	♫ 生命不灭不熄 ♫
♪ In every beat ♪	♫ 我的心跳 ♫
♪ Of my proud corazón ♪	♫ 全都充满自豪 ♫
♪ Our love for each other ♪	♫ 我们相亲相爱 ♫
♪ Will live on forever ♪	♫ 生命不灭不熄 ♫
♪ In every beat ♪	♫ 我的心跳 ♫
♪ Of my proud corazón ♪	♫ 全都充满自豪 ♫
♪ Ay mi familia ♪	♫ 我的大家庭 ♫
♪ Oiga mi gente ♪	♫ 我的好朋友 ♫
♪ Canten a coro ♪	♫ 你可感觉到 ♫
♪ Let it be known ♪	♫ 你可知道 ♫
♪ Our love for each other ♪	♫ 我们相亲相爱 ♫
♪ Will live on forever ♪	♫ 生命不灭不熄 ♫
♪ In every beat ♪	♫ 我的心跳 ♫
♪ Of my proud corazón ♪	♫ 全都充满自豪 ♫
♪ Ay mi familia ♪	♫ 我的大家庭 ♫
♪ Oiga mi gente ♪	♫ 我的好朋友 ♫
♪ Canten a coro ♪	♫ 你可感觉到 ♫
♪ Let it be known ♪	♫ 你可知道 ♫
♪ Our love for each other ♪	♫ 我们相亲相爱 ♫
♪ Will live on forever ♪	♫ 生命不灭不熄 ♫
♪ In every beat ♪	♫ 我的心跳 ♫
♪ Of my proud corazón ♪	♫ 全都充满自豪 ♫
